Time, Error [mm]
37.2127, -0.00174686
37.2136, -0.00174686
37.2145, -0.00174686
37.2256, -0.00184149
37.2263, -0.00184149
37.2545, -0.00184149
37.2552, -0.00184149
37.2562, -0.00184149
37.2671, -0.00195226
37.268, -0.00195226
37.2959, -0.00195226
37.2969, -0.00195226
37.2978, -0.00195226
37.3104, -0.00207508
37.3113, -0.00207508
45.8783, -0.0188223
45.8793, -0.0188223
45.8804, -0.0188223
45.8814, -0.0188223
45.8924, -0.0191299
45.8935, -0.0191299
45.9223, -0.0191299
45.9233, -0.0191299
45.9243, -0.0191299
45.9361, -0.0194154
45.937, -0.0194154
45.9702, -0.0194154
45.9717, -0.0194154
45.9729, -0.0194154
50.7976, -0.00492831
50.7991, -0.00492831
50.8, -0.00492831
50.8009, -0.00492831
50.8136, -0.00510605
50.8145, -0.00510605
50.8426, -0.00510605
50.844, -0.00510605
50.8449, -0.00510605
50.8568, -0.0052784
50.8577, -0.0052784
50.8845, -0.0052784
50.8855, -0.0052784
50.8865, -0.0052784
50.9004, -0.00548735
50.9014, -0.00548735
