Time, Error [mm]
30.5331, -0.0016228
30.5338, -0.0016228
30.5632, -0.0016228
30.564, -0.0016228
30.5651, -0.0016228
30.5763, -0.0016051
30.578, -0.0016051
30.607, -0.0016051
30.6078, -0.0016051
30.6088, -0.0016051
30.6195, -0.00162445
30.6211, -0.00162445
30.6511, -0.00162445
30.6518, -0.00162445
30.653, -0.00162445
30.6651, -0.00166957
30.6661, -0.00166957
30.6943, -0.00166957
30.6955, -0.00166957
44.05, -0.0119296
44.0511, -0.0119296
44.0802, -0.0119296
44.0809, -0.0119296
44.0818, -0.0119296
44.0942, -0.0119874
44.0951, -0.0119874
44.1244, -0.0119874
44.1255, -0.0119874
44.1266, -0.0119874
44.1389, -0.0120687
44.1404, -0.0120687
44.1693, -0.0120687
44.1703, -0.0120687
44.1715, -0.0120687
44.1846, -0.0121646
44.187, -0.0121646
44.2152, -0.0121646
44.216, -0.0121646
44.2192, -0.0121646
44.2304, -0.0122707
44.2314, -0.0122707
49.6088, -0.00701778
49.6099, -0.00701778
49.611, -0.00701778
49.6216, -0.00699934
49.6226, -0.00699934
49.6517, -0.00699934
49.6525, -0.00699934
49.6537, -0.00699934
49.665, -0.0071083
49.6658, -0.0071083
49.6947, -0.0071083
49.6961, -0.0071083
49.6971, -0.0071083
49.7091, -0.00729959
49.7098, -0.00729959
49.7377, -0.00729959
49.7393, -0.00729959
49.7405, -0.00729959
49.7507, -0.00751223
49.7516, -0.00751223
54.897, -0.0129191
54.9253, -0.0129191
54.9262, -0.0129191
54.9274, -0.0129191
54.9374, -0.0130088
54.9388, -0.0130088
54.9674, -0.0130088
54.9683, -0.0130088
54.9697, -0.0130088
54.9805, -0.0130722
54.982, -0.0130722
55.0092, -0.0130722
55.01, -0.0130722
55.0111, -0.0130722
55.0224, -0.0132461
55.0241, -0.0132461
55.0525, -0.0132461
55.0533, -0.0132461
55.0539, -0.0132461
55.0551, -0.0132461
55.0654, -0.0133586
55.0669, -0.0133586
